titulo,texto,area,subarea
Anotacoes sobre roteamento em aplicacoes SPA,Neste conteudo sao apresentados os conceitos basicos de roteamento em aplicacoes SPA.,Frontend,Integracao
Resumo da aula,"Para entender processamento de linguagem natural, imagine o seguinte: de algo relacionado a NLP, texto, linguagem. final ha exercicios propostos.",Inteligencia Artificial,Processamento de Linguagem Natural
Introducao a estilizacao com CSS moderno,"Documentacao sobre estilizacao com CSS moderno. Principais topicos: CSS, Flexbox, Grid. O material e voltado para iniciantes.",Frontend,Estilizacao e Layout
Resumo: quando usar NoSQL em vez de SQL,"Para entender quando usar NoSQL em vez de SQL, imagine o seguinte: trata-se de algo relacionado a NoSQL, escalabilidade, flexibilidade. Ao final ha exercicios propostos.",Banco de Dados,NoSQL
Como funciona aprendizado supervisionado e nao supervisionado,Muita gente tem duvida sobre aprendizado supervisionado e nao supervisionado.,Inteligencia Artificial,Machine Learning
Guia componentes reutilizaveis em React,"Um guia passo a passo sobre componentes reutilizaveis em React, com foco em React, JavaScript, componentes.",Frontend,Componentes e Estado
Guia indices e performance de consultas,"Voce ja parou para pensar em indices e performance de consultas? De forma simples, e um tema que envolve indices, performance, SQL. O conteudo traz exemplos praticos.",Banco de Dados,SQL
Como funciona provisionamento de maquinas virtuais,"Um guia passo a passo sobre provisionamento de maquinas virtuais, com foco em OCI Compute, infraestrutura, cloud. Sao discutidos erros comuns e como evita-los. O conteudo tambem aborda navegacao entre telas no React Native, mencionando React Native, navegacao, mobile.",DevOps e Cloud,Cloud
Guia tipagem de componentes com TypeScript,Muita gente tem duvida sobre tipagem de componentes com TypeScript.,Frontend,Componentes e Estado
Introducao a autenticacao com JWT,"Um guia passo a passo sobre autenticacao com JWT, com foco em JWT, seguranca, autenticacao. Sao discutidos erros comuns e como evita-los.",Backend,Autenticacao e Seguranca
O que e injecao de dependencias,"Documentacao sobre injecao de dependencias. Principais topicos: Spring, arquitetura, boas praticas. Sao discutidos erros comuns e como evita-los.",Backend,Arquitetura
Material de apoio,"Documentacao sobre controle de acesso e permissoes. Principais topicos: seguranca, autorizacao, roles. Traz um exemplo do inicio ao fim.",Backend,Autenticacao e Seguranca
Tutorial responsividade e mobile first,"Neste conteudo sao apresentados os conceitos basicos de responsividade e mobile first. Sao abordados temas como CSS, responsivo, UX. O material e voltado para iniciantes.",Frontend,Estilizacao e Layout
Resumo: gerenciamento de estado,"Para entender gerenciamento de estado, imagine o seguinte: trata-se de algo relacionado a React, Redux, estado. O conteudo tambem aborda avaliacao de modelos preditivos, mencionando metricas, F1-score, validacao.",Frontend,Componentes e Estado
Guia visualizacao de dados,Documentacao de dados.,Ciencia de Dados,Visualizacao
Introducao a versionamento de APIs,"Neste conteudo sao apresentados os conceitos basicos de versionamento de APIs. Sao abordados temas como API REST, boas praticas, documentacao. Ao final ha exercicios propostos. O conteudo tambem aborda funcoes serverless, mencionando OCI Functions, serverless, cloud.",Backend,APIs e Servicos
Notas rapidas,"Este aprofunda o de APIs REST com Spring Boot, Java, Spring Boot, API REST.",Backend,APIs e Servicos
Guia construcao de dashboards,"Neste conteudo sao apresentados os conceitos basicos de construcao de dashboards. Sao abordados temas como dashboard, visualizacao, BI. O conteudo traz exemplos praticos.",Ciencia de Dados,Visualizacao
Guia modelagem dimensional para BI,Muita gente tem duvida sobre modelagem dimensional para BI.,Banco de Dados,Modelagem
Guia responsividade e mobile first,"Vamos falar sobre responsividade e mobile first de um jeito facil. A ideia central passa por CSS, responsivo, UX. O material e voltado para iniciantes.",Frontend,Estilizacao e Layout
Notas rapidas,Documentacao sobre armazenamento de objetos na nuvem.,DevOps e Cloud,Cloud
Notas rapidas,"Este material aprofunda o tema de consultas SQL com JOIN, cobrindo SQL, JOIN, consultas. O material e voltado para iniciantes.",Banco de Dados,SQL
Anotacoes sobre armazenamento local no dispositivo,"Voce ja parou para pensar em armazenamento local no dispositivo? De forma simples, e um tema que envolve SQLite, mobile, persistencia. Sao discutidos erros comuns e como evita-los.",Mobile,Boas Praticas Mobile
Tutorial visao computacional com CNNs,Muita gente tem duvida sobre visao computacional com CNNs.,Inteligencia Artificial,Deep Learning
Introducao a navegacao entre telas no React Native,Muita gente tem duvida sobre navegacao entre telas no Native.,Mobile,Multiplataforma
Anotacoes sobre transacoes e integridade de dados,"Para entender transacoes e integridade de dados, imagine o seguinte: trata-se de algo relacionado a ACID, transacoes, SQL. O conteudo traz exemplos praticos.",Banco de Dados,Modelagem
O que e injecao de dependencias,Documentacao sobre injecao de dependencias.,Backend,Arquitetura
